 ----------------------header-------------------------- 2018-08-08 10:14:48,796 [1] INFO  loginfo - 文件接收工具启动
2018-08-08 10:15:00,050 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,110 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,160 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,220 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,280 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,340 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,390 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,450 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,500 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,563 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,618 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,674 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,730 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,785 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,841 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,891 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:00,951 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,011 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,071 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,121 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,181 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,241 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,291 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,351 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,411 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,471 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,521 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,581 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,631 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,691 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,741 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,801 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,861 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,921 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:01,971 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,031 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,081 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,141 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,191 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,251 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,311 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,361 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,421 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,471 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,531 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,591 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,641 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,701 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,761 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,811 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,871 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,931 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:02,981 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,041 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,091 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,151 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,211 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,271 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,331 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,381 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,441 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,491 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,551 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,601 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,661 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,711 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,771 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,831 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,881 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:03,941 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,001 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,051 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,111 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,171 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,221 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,281 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,341 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,391 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,451 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,501 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,561 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,621 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,671 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,731 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,791 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,851 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,901 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:04,961 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,011 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,071 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,121 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,181 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,231 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,291 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,351 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,411 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,461 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,521 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,578 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,634 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,694 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,750 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,806 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,857 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,917 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:05,967 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,027 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,087 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,137 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,197 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,257 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,317 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,367 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,427 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,477 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,537 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,587 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,647 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,697 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,757 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,817 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,867 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,927 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:06,987 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,037 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,097 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,147 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,207 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,267 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,327 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,377 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,437 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,487 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,547 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,597 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,657 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,717 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,777 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,827 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,887 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,937 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:07,997 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,057 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,107 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,167 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,217 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,277 [8] INFO  loginfo - 收到数据文件
2018-08-08 10:15:08,337 [8] INFO  loginfo - 收到数据文件
